run_id,algo,variant,seed,pop_size,tournament_size,p_inflate,n_elites,elite_train_rmse,elite_size,elite_nodes
37442dee-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.7,1,0.9904264807701111,153,3001
37442e3e-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.7,3,1.093220829963684,145,2971
37442ea2-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.7,3,0.9983003735542297,82,2366
37442ee8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.7,3,0.9900074601173401,153,3335
37442f2e-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.7,5,1.0942387580871582,134,2720
37442f74-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.7,5,0.9980413317680359,73,1609
37442fc4-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.7,5,0.9901813864707947,142,3186
37443014-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.7,10,1.0942509174346924,129,2161
3744305a-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.7,10,0.9978972673416138,81,2583
374430b4-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.7,10,0.9904708862304688,147,3183
37443118-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.3,1,1.252098798751831,142,2526
3744315e-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.3,1,0.9983992576599121,53,1113
374431a4-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.3,1,0.9920456409454346,130,2914
374431ea-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.3,3,1.2493038177490234,149,2755
37443230-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.3,3,0.9984713196754456,54,1150
37443276-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.3,3,0.9914047718048096,108,2430
374432d0-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.3,5,1.2560710906982422,155,3151
37443316-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.3,5,0.9979657530784607,65,1629
374433b6-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.3,5,0.9907137155532837,114,2362
37443410-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.3,10,1.2571641206741333,144,2638
37443456-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.3,10,0.9977228045463562,42,1030
3744349c-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.3,10,0.9915897250175476,104,2080
374434e2-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.5,1,1.2003980875015259,149,2907
37443528-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.5,1,0.9982786774635315,74,1870
37443578-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.5,1,0.9895539283752441,153,3077
374435d2-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.5,3,1.197000503540039,161,3019
3744362c-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.5,3,0.9985231161117554,111,3071
37443672-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.5,3,0.989919126033783,146,2828
374436b8-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.5,5,1.1983624696731567,158,3240
374436fe-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.5,5,0.9984064102172852,75,2173
37443744-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.5,5,0.990225076675415,141,3081
3744378a-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.5,10,1.1601482629776,151,2631
374437d0-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,10,0.5,10,0.9982898831367493,55,1227
37443834-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,10,0.5,10,0.9895511865615845,147,3121
37443884-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,10,0.7,1,1.0967299938201904,181,3347
